noise,S,p,ofm_scale,ofm_n
0.0,2.82842712474619,0.0,0.3977443609022556,20
0.5,2.6990531667507502,0.0457406015037594,0.3977443609022556,20
1.0,2.5696792087553106,0.0914812030075188,0.3977443609022556,20
1.5,2.4403052507598715,0.13722180451127822,0.3977443609022556,20
2.0,2.3109312927644314,0.1829624060150376,0.3977443609022556,20
3.0,2.052183376773553,0.27444360902255643,0.3977443609022556,20
