cantor_level,T,min_feature_over_dx
1,1.1649539652229656e-05,4551.111111111111
2,8.725102560338682e-06,1517.0370370370372
3,1.1421773928603412e-05,505.679012345679
4,1.3427006920986911e-05,168.559670781893
5,1.479630383227831e-05,56.186556927297666
6,1.5615245975035816e-05,18.72885230909922
7,1.6202220116081478e-05,6.242950769699742
8,1.6571132851438432e-05,2.0809835898999136

fit_logT_vs_loglevels_slope_m,0.25139497337043765
fit_logT_vs_loglevels_intercept_b,-11.56254152094017
fit_logT_vs_loglevels_R2,0.6382242843338315
d_eff_minus_slope,-0.25139497337043765
fit_logT_vs_levels_slope_mL,0.07853305872097069
fit_logT_vs_levels_intercept_bL,-11.582697302142078
fit_logT_vs_levels_R2,0.7552976609644422
fit_logT_vs_log2powlevels_slope_m2,0.11329925436258725
fit_logT_vs_log2powlevels_intercept_b2,-11.58269730214208
fit_logT_vs_log2powlevels_R2,0.7552976609644413
