theta_deg,V_coh_max,V_fringe_max
0.0,0.6790421010298429,1.1102230246251565e-15
5.0,0.6621369078350683,0.027863199905704183
10.0,0.6430253185610177,0.054879790581733756
15.0,0.6222880291768526,0.08022888659145111
20.0,0.600555131726936,0.10314026847986302
25.0,0.5784869693029068,0.12291778550200805
30.0,0.5567540718529903,0.13896050781107538
35.0,0.5360167824688251,0.15078098540771268
40.0,0.5169051931947745,0.15802005906159744
45.0,0.5000000000000002,0.16045777318290266
50.0,0.5254254857843987,0.15802005906159677
55.0,0.5452030028065442,0.1507809854077129
60.0,0.5587316212196239,0.13896050781107516
65.0,0.5656002807989684,0.12291778550200827
70.0,0.5656002807989684,0.10314026847986324
75.0,0.5587316212196238,0.08022888659145133
80.0,0.5452030028065442,0.0548797905817342
85.0,0.525425485784399,0.027863199905704628
90.0,0.5000000000000001,1.1102230246251565e-15
